country,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Nigeria,993M,981M,1.18B,1.17B,1.16B,1.15B,2.05B,2.06B,2.12B,2.42B,2.43B,2.91B,3.18B,3.15B,2.95B,2.97B,2.97B,2.98B,3B,3B,3.51B,3.96B,4.27B,4.32B,4.47B,4.4B,4.45B,4.52B,4.52B,4.52B,4.43B,4.43B,4.38B,4.37B,4.55B,4.52B,4.68B,4.81B,4.85B,4.85B
Netherlands,1.79B,1.73B,1.68B,1.65B,1.62B,1.59B,1.56B,1.52B,1.49B,1.48B,1.68B,1.66B,1.64B,1.6B,1.59B,1.55B,1.54B,1.55B,1.51B,1.46B,1.41B,1.38B,1.34B,1.28B,1.25B,1.2B,1.14B,1.11B,1.07B,1.11B,1.04B,978M,760M,714M,636M,656M,589M,553M,156M,156M
Norway,347M,332M,308M,364M,339M,487M,404M,1.11B,1.55B,1.55B,1.5B,1.14B,1.23B,1.21B,1.2B,1.21B,1.32B,1.05B,1.05B,1.11B,1.12B,1.96B,1.89B,2.2B,2.13B,2.11B,2.06B,2.07B,1.98B,1.83B,1.82B,1.85B,1.87B,1.83B,1.72B,1.66B,1.58B,1.54B,1.45B,1.38B
Oman,68.7M,66.2M,70.4M,140M,182M,185M,194M,231M,240M,237M,238M,78.9M,127M,170M,217M,384M,523M,460M,482M,704M,729M,802M,802M,840M,844M,844M,831M,831M,806M,449M,441M,437M,428M,598M,584M,598M,598M,598M,600M,600M
Pakistan,262M,285M,322M,274M,274M,267M,325M,389M,308M,313M,338M,392M,428M,405M,405M,367M,354M,328M,364M,361M,451M,465M,493M,489M,523M,609M,609M,602M,548M,523M,496M,492M,486M,437M,409M,342M,328M,342M,329M,361M
Peru,27.7M,27.7M,23.4M,22.5M,21.7M,23.4M,47.6M,295M,295M,295M,294M,297M,282M,288M,295M,174M,174M,172M,214M,214M,214M,214M,214M,214M,282M,289M,287M,290M,294M,294M,306M,312M,377M,369M,359M,345M,395M,316M,260M,260M
Papua New Guinea,0,0,0,0,0,98.1k,270k,527k,785k,1.39M,1.48M,2.48M,2.67M,3.36M,2.62M,2.62M,2.62M,2.62M,2.62M,2.62M,2.62M,2.62M,2.48M,2.36M,2.23M,2.1M,1.97M,1.86M,1.73M,135M,134M,134M,134M,134M,131M,122M,182M,173M,164M,158M
Poland,69M,66.4M,64.4M,62.4M,60.4M,63.7M,110M,108M,114M,109M,106M,102M,105M,103M,103M,102M,98.9M,103M,93.6M,96.9M,79M,76.3M,77M,73M,72.3M,70.4M,75M,69.3M,69.9M,73.3M,72.5M,70.9M,68.3M,65.2M,62.7M,60.2M,58.9M,57.3M,65M,65M
Qatar,2.61B,2.64B,2.93B,3.17B,3.99B,4.14B,4.14B,4.14B,4.3B,4.3B,4.3B,5.99B,6.25B,6.59B,6.59B,7.92B,7.92B,7.92B,10.2B,10.4B,13.5B,24B,24B,23.6B,23.6B,23.9B,23.8B,23.7B,23.6B,23.6B,23.3B,23.3B,23.2B,23B,22.8B,22.6B,22.4B,22.2B,22.2B,22.2B
Romania,252M,235M,214M,193M,176M,226M,197M,166M,138M,112M,88.1M,403M,391M,373M,356M,341M,326M,314M,302M,292M,281M,270M,261M,256M,247M,527M,527M,527M,517M,508M,499M,91.4M,85.5M,85.5M,92.3M,92.3M,92.3M,92.3M,92.3M,92.3M
